epoch_for_cdf_mod,proton_density,numden_p_uncer,proton_bulk_speed,bulk_p_uncer,proton_xvelocity,proton_yvelocity,proton_zvelocity,proton_thermal,thermal_p_uncer,alpha_density,numden_a_uncer,alpha_bulk_speed,bulk_a_uncer,alpha_thermal,thermal_a_uncer,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-06-25 17:00:20.925,8.383273679484347,-1e+31,409.32343358892007,-1e+31,-409.32343358892007,3.4594778679260436,-5.190614706664242,50.63275803159179,-1e+31,0.1817687478216698,-1e+31,403.40683025873926,-1e+31,31.651057205470316,-1e+31,1276049.239094654,69409.10378305613,-105561.139583983
2025-06-25 17:00:25.925,8.373870206313333,-1e+31,411.33385741744956,-1e+31,-411.33385741744956,5.538599417968086,-3.522001273422923,50.69077388224063,-1e+31,0.18683928097607186,-1e+31,405.12051198233405,-1e+31,30.870777102391795,-1e+31,1276049.2528411632,69410.61494689775,-105561.10860588559
2025-06-25 17:00:30.925,8.56918887049777,-1e+31,409.2977732874828,-1e+31,-409.2977732874828,0.4332252907337377,-6.122968032604618,50.04673484114764,-1e+31,0.19525595244147123,-1e+31,403.9848267309208,-1e+31,31.57243235269537,-1e+31,1276049.266587364,69412.1261405452,-105561.07762659894
2025-06-25 17:00:35.925,8.11357225512617,-1e+31,412.8664694813447,-1e+31,-412.8664694813447,1.5622207261145604,0.41912994086803224,49.44817102790897,-1e+31,0.1667217099600013,-1e+31,407.42085842972534,-1e+31,28.495867352287856,-1e+31,1276049.2803330338,69413.63733378678,-105561.04664680053
2025-06-25 17:00:40.925,8.374015402463467,-1e+31,410.8575881561517,-1e+31,-410.8575881561517,5.657133058434379,1.219668008446689,49.414133309451834,-1e+31,0.1773224034173624,-1e+31,405.76246816952306,-1e+31,30.959769120894624,-1e+31,1276049.2940776069,69415.14846615175,-105561.01566765644
2025-06-25 17:00:45.926,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,4.832230838364737,-3.3803378799399013,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1276049.3078222203,69416.65965855707,-105560.98468673974
2025-06-25 17:00:50.926,8.260030297778245,-1e+31,408.4919591791284,-1e+31,-408.4919591791284,3.24789434594593,-2.769394964696886,49.50021288781907,-1e+31,0.18687640577798462,-1e+31,403.7870327551981,-1e+31,30.781111260016605,-1e+31,1276049.3215662804,69418.17085054138,-105560.95370528521
2025-06-25 17:00:55.926,8.318763782726148,-1e+31,411.0792541828032,-1e+31,-411.0792541828032,-0.11471609209732136,-5.667091576438715,48.95310471145449,-1e+31,0.19160736816379054,-1e+31,404.8963917301681,-1e+31,29.445746477950507,-1e+31,1276049.3353092405,69419.6819816585,-105560.92272449209
2025-06-25 17:01:00.926,8.256743646145598,-1e+31,410.13315502626256,-1e+31,-410.13315502626256,3.8217657226623487,-2.3246866442286986,49.50182493689081,-1e+31,0.18459073383736943,-1e+31,404.9963692969576,-1e+31,29.155677557640807,-1e+31,1276049.3490524776,69421.19320305114,-105560.89174130227
2025-06-25 17:01:05.926,8.152269845972334,-1e+31,409.81545465705966,-1e+31,-409.81545465705966,7.515155641326434,-6.486352667263944,49.58196179235004,-1e+31,0.18797059624767717,-1e+31,403.5976107963847,-1e+31,30.823496871938207,-1e+31,1276049.3627946624,69422.70436356014,-105560.86075881118
2025-06-25 17:01:10.926,8.242310889945678,-1e+31,409.50627682452995,-1e+31,-409.50627682452995,5.395385009264697,-2.404065698323919,49.78158076216418,-1e+31,0.16688623165020539,-1e+31,405.8642323626161,-1e+31,30.845029115764156,-1e+31,1276049.3765362126,69424.21552366878,-105560.82977574697
2025-06-25 17:01:15.926,8.25843741339384,-1e+31,413.7771875509963,-1e+31,-413.7771875509963,3.222676746346579,8.21858492828391,50.52053380401222,-1e+31,0.17101216798929017,-1e+31,407.8124517126825,-1e+31,30.03610804181426,-1e+31,1276049.3902775985,69425.7267135715,-105560.79879153904
2025-06-25 17:01:20.926,8.258436903498042,-1e+31,411.0437550598486,-1e+31,-411.0437550598486,4.956017174917665,-1.1268577994563245,51.199727934758116,-1e+31,0.17532165005143344,-1e+31,406.74850935072305,-1e+31,29.393096057947673,-1e+31,1276049.404018141,69427.23787283865,-105560.76780739403
2025-06-25 17:01:25.926,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.1926782077290525,3.3981840878618215,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1276049.4177586825,69428.74909210569,-105560.73682148487
